country,year,export_entropy_global,n_export_partners_global,top_partner_share,top_partner,export_entropy_regional,gap
CHL,2009,0.7656143426288333,14,0.34811227799066063,CHN,0.8352261588456508,0.06961181621681745
CHL,2010,0.7507308885503159,14,0.3573706364368878,CHN,0.8029007198696697,0.05216983131935382
CHL,2011,0.7568479560287599,14,0.3383242770195232,CHN,0.8179393560810571,0.061091400052297185
CHL,2012,0.7484537897986916,14,0.34000739449668516,CHN,0.8161365953958835,0.06768280559719186
CHL,2013,0.7428272286735083,14,0.35693820237417545,CHN,0.812656391089968,0.06982916241645976
CHL,2014,0.7476038985710493,14,0.35127721365646786,CHN,0.8236031306446692,0.07599923207361992
CHL,2015,0.741470880458937,14,0.3688622992696113,CHN,0.8420853525797729,0.10061447212083585
CHL,2016,0.724235145263236,14,0.3859982207660326,CHN,0.8396510275956008,0.11541588233236488
CHL,2017,0.7253667891029738,14,0.37431817085350355,CHN,0.8297448742282009,0.10437808512522706
CHL,2018,0.681941657375679,14,0.4360444382035239,CHN,0.8306264085660057,0.14868475119032665
CHL,2019,0.6889754334056603,14,0.42348578532999914,CHN,0.818770168778807,0.12979473537314679
CHL,2020,0.6383430930098305,14,0.48913555000839454,CHN,0.8135462292809685,0.17520313627113804
CHL,2021,0.6268517993234592,14,0.4851087264269373,CHN,0.7798476355479782,0.15299583622451896
CHL,2022,0.6398207944791464,14,0.49031105641092904,CHN,0.817259106712228,0.1774383122330816
CHL,2023,0.645194821815606,14,0.4748890705202352,CHN,0.8196408418725654,0.17444602005695942
CHL,2024,0.6362076721722574,14,0.4739775985293971,CHN,0.7850695001957573,0.1488618280234999
COL,2000,0.451768382967087,14,0.7276058573343543,USA,0.8603258980853951,0.40855751511830807
COL,2001,0.4827612508109532,14,0.6902140736939769,USA,0.7999710774433341,0.31720982663238084
COL,2002,0.48689612234069274,14,0.6801476867150719,USA,0.7539775438792555,0.2670814215385628
COL,2003,0.4723064091137067,14,0.7016905300500003,USA,0.7696791802872002,0.2973727711734935
COL,2004,0.5112475514228989,14,0.6684432921071639,USA,0.7834717678958314,0.2722242164729325
COL,2005,0.5099456802322554,14,0.6674231512309147,USA,0.7584825935547589,0.2485369133225035
COL,2006,0.5013743305922282,14,0.6834177723164541,USA,0.7784003715033939,0.27702604091116567
COL,2007,0.5388654158945252,14,0.6534439421045825,USA,0.8176926458275782,0.278827229933053
COL,2008,0.5032393520779704,14,0.6868617673734615,USA,0.8407058025593523,0.3374664504813819
COL,2009,0.5015391544131732,14,0.6876680645836987,USA,0.8424573814479542,0.34091822703478103
COL,2010,0.5444229065207302,14,0.6473158797551952,USA,0.8525337229733302,0.30811081645259997
COL,2011,0.5535040831567659,14,0.6444091328363941,USA,0.876610191794644,0.32310610863787803
COL,2012,0.5628660788629111,14,0.6232474784627048,USA,0.867519425654757,0.30465334679184597
COL,2013,0.6220332991104012,14,0.5508983807098435,USA,0.8962633140861965,0.27423001497579536
COL,2014,0.643510223591985,14,0.497285098121958,USA,0.8472306054331674,0.20372038184118246
COL,2015,0.6726725006123907,14,0.5133196784953281,USA,0.8574828749133883,0.18481037430099756
COL,2016,0.6507484078791107,14,0.5608483901053634,USA,0.8802550677367319,0.2295066598576212
COL,2017,0.6945812897401894,14,0.504151011796651,USA,0.8729719216306921,0.17839063189050275
COL,2018,0.7126056785562486,14,0.44913544781795356,USA,0.8632547684004078,0.15064908984415926
COL,2019,0.6845735693426025,14,0.4705933514483781,USA,0.8606108535535208,0.17603728421091835
COL,2020,0.7043904875505401,14,0.47465854292095366,USA,0.8644809172155739,0.16009042966503373
COL,2021,0.710260587576236,14,0.46210402291860236,USA,0.8609903562703837,0.15072976869414767
COL,2022,0.6794463576524264,14,0.5232159197469544,USA,0.8651085851480436,0.18566222749561712
COL,2023,0.688089772175707,14,0.5104269464728323,USA,0.8609839557122393,0.1728941835365323
COL,2024,0.6785798534804602,14,0.521712202553189,USA,0.8609431988977787,0.18236334541731847
