country,year,export_entropy,n_export_partners
ECU,2020,0.634026059124426,14
ECU,2021,0.6235733269112319,14
ECU,2022,0.5914051949351222,14
ECU,2023,0.5997224558762414,14
ECU,2024,0.6630371437513527,14
ECU,2025,0.6443676976335332,14
GTM,2000,0.4819718609307831,14
GTM,2001,0.5284262655136079,14
GTM,2002,0.4978986642589755,14
GTM,2003,0.4705823279893863,14
GTM,2004,0.4953216702573724,14
GTM,2005,0.3383759906062195,14
GTM,2006,0.5292033584699647,14
GTM,2007,0.4540580544724639,14
GTM,2008,0.4751306245325688,14
GTM,2009,0.45966915828483595,14
GTM,2010,0.4868791919210423,14
GTM,2011,0.4776467743181277,14
GTM,2012,0.4609053097185236,14
GTM,2013,0.48996309029433127,14
GTM,2014,0.48930522513195573,14
GTM,2015,0.5120071207521693,14
GTM,2016,0.5040104525437691,14
GTM,2017,0.5057566127296286,14
GTM,2018,0.4732823259265927,14
GTM,2019,0.4927935535806572,14
GTM,2020,0.5135323245362436,14
GTM,2021,0.5214686996005725,14
GTM,2022,0.5430134260630037,14
GTM,2023,0.5043993601339902,14
GTM,2024,0.4974255517252586,14
GTM,2025,0.5010461062539318,14
HND,2000,0.33638674798995827,13
HND,2001,0.3251931520968339,13
HND,2002,0.3485935588723986,14
HND,2003,0.41064770865804995,14
HND,2004,0.417932954714492,13
HND,2005,0.4457239050917731,14
HND,2006,0.3698672281907382,14
HND,2007,0.4580846612481297,14
HND,2009,0.4601598986021585,14
HND,2010,0.4993177960446328,14
HND,2011,0.5264287434059928,14
HND,2012,0.4460104444581914,14
HND,2014,0.4593458199442853,14
HND,2015,0.41649775523170174,14
HND,2016,0.4096383142283001,14
HND,2017,0.40860390942875346,14
HND,2018,0.41945550068692355,14
HND,2019,0.4024573032705977,14
HND,2020,0.39045757218551,14
HND,2021,0.39208358366268614,14
HND,2023,0.40124211219923767,14
HND,2024,0.41358715293117726,14
MEX,2000,0.10149193499609802,14
MEX,2001,0.10837235010815971,14
MEX,2002,0.10194855162511252,14
MEX,2003,0.11060511208114983,14
MEX,2004,0.09105676177756786,14
MEX,2005,0.1283057531491554,14
MEX,2006,0.14191567705625813,14
MEX,2007,0.16874170855643308,14
MEX,2008,0.19001118483344615,14
MEX,2009,0.18484760644328635,14
MEX,2010,0.20421227960214572,14
MEX,2011,0.22247766125558557,14
MEX,2012,0.22432962578157445,14
MEX,2013,0.2104883283113835,14
MEX,2014,0.19713227019709295,14
MEX,2015,0.19057588271311218,14
MEX,2016,0.19061242384767627,14
MEX,2017,0.20730232032216667,14
MEX,2018,0.20496190113025947,14
MEX,2019,0.19031748753109926,14
MEX,2020,0.1929603535789836,14
MEX,2021,0.19419255742635538,14
MEX,2022,0.1883778174656253,14
MEX,2023,0.17157309796008788,14
MEX,2024,0.16113188655271352,14
MEX,2025,0.15830546631802464,14
PER,2000,0.7172545256564061,14
PER,2001,0.7405999405808735,14
PER,2002,0.7214776434127336,14
PER,2003,0.7051527948924465,14
PER,2004,0.7040397968278724,14
PER,2005,0.6866710318042388,14
PER,2006,0.7448315635895154,14
PER,2007,0.7696302217884246,14
PER,2008,0.7675853061548953,14
PER,2009,0.7610522191256984,14
PER,2010,0.7685827728990078,14
PER,2011,0.7897526749149444,14
PER,2012,0.788959904184576,14
PER,2013,0.7788771803643546,14
PER,2014,0.7890782313111635,14
PER,2015,0.767188505492044,14
PER,2016,0.7182848901621204,14
PER,2017,0.7008927660902743,14
PER,2018,0.6991931260227136,14
PER,2019,0.6965449285767293,14
PER,2020,0.6837339802284449,14
PER,2021,0.664146205763959,14
PER,2022,0.6905179664315333,14
PER,2023,0.6257632285952996,14
PER,2024,0.6252478152613656,14
