year,method,y_true,y_pred,pi_lo,pi_hi,abs_error,in_interval,country
2016,arima,0.8071160335734683,0.7296996356274552,0.6951242904558059,0.7642749807991045,0.07741639794601307,False,BOL
2016,bayesian,0.8071160335734683,0.7324844395271833,0.6911141493790629,0.7738547296753038,0.07463159404628494,False,BOL
2016,xgboost,0.8071160335734683,0.7168139219284058,0.707315193362778,0.7263126504940335,0.09030211164506252,False,BOL
2017,naive,0.8045512070499038,0.8071160335734683,0.7573578567835951,0.8568742103633414,0.0025648265235644896,True,BOL
2017,ets,0.8045512070499038,0.7513720504944171,0.7138875241922736,0.7888565767965606,0.05317915655548666,False,BOL
2017,arima,0.8045512070499038,0.8189360615690969,0.7689949166360535,0.8688772065021404,0.014384854519193135,True,BOL
2017,bayesian,0.8045512070499038,0.7781226726023056,0.7329103458624153,0.8233349993421959,0.026428534447598184,True,BOL
2017,xgboost,0.8045512070499038,0.7836368083953857,0.7710261013846663,0.7962475154061052,0.02091439865451805,False,BOL
2018,naive,0.7916054160933493,0.8045512070499038,0.7561175184126752,0.8529848956871324,0.01294579095655446,True,BOL
2018,ets,0.7916054160933493,0.7887625202800179,0.7471200461715772,0.8304049943884586,0.002842895813331414,True,BOL
2018,arima,0.7916054160933493,0.8151778445539993,0.7665385115048388,0.8638171776031599,0.023572428460649997,True,BOL
2018,bayesian,0.7916054160933493,0.8074986362454647,0.7636270402859491,0.8513702322049803,0.01589322015211536,True,BOL
2018,xgboost,0.7916054160933493,0.7981869578361511,0.7861366097471728,0.8102373059251294,0.006581541742801789,True,BOL
2019,naive,0.7898046522101219,0.7916054160933493,0.7440668288274,0.8391440033592986,0.0018007638832274742,True,BOL
2019,ets,0.7898046522101219,0.8050885162138357,0.7644798431076552,0.8456971893200163,0.015283864003713843,True,BOL
2019,arima,0.7898046522101219,0.8003411631424742,0.7525782844328167,0.8481040418521316,0.010536510932352305,True,BOL
2019,bayesian,0.7898046522101219,0.8196130509096975,0.7769972586347083,0.8622288431846867,0.029808398699575633,True,BOL
2019,xgboost,0.7898046522101219,0.7913966178894043,0.7793370767780522,0.8034561590007564,0.0015919656792824366,True,BOL
2020,naive,0.8131475746595133,0.7898046522101219,0.7434402615067162,0.8361690429135276,0.0233429224493914,True,BOL
2020,ets,0.8131475746595133,0.8110589937455304,0.7711029074316594,0.8510150800594013,0.002088580913982896,True,BOL
2020,arima,0.8131475746595133,0.7978163971083851,0.751231224920955,0.8444015692958153,0.015331177551128117,True,BOL
2020,bayesian,0.8131475746595133,0.8253091179526796,0.7831080486360849,0.8675101872692743,0.012161543293166321,True,BOL
2020,xgboost,0.8131475746595133,0.7900376915931702,0.7783178069852812,0.8017575762010591,0.023109883066343095,False,BOL
2021,naive,0.8401074301894922,0.8131475746595133,0.7677531827664742,0.8585419665525523,0.026959855529978927,True,BOL
2021,ets,0.8401074301894922,0.8252010464568899,0.7861468921140911,0.8642552007996886,0.014906383732602335,True,BOL
2021,arima,0.8401074301894922,0.8223827514227081,0.7767783168993464,0.8679871859460698,0.017724678766784074,True,BOL
