year,method,y_true,y_pred,pi_lo,pi_hi,abs_error,in_interval,country
2016,xgboost,0.723133073170102,0.7248365879058838,0.7158713396941978,0.7338018361175698,0.001703514735781786,True,BRA
2017,naive,0.7008181668292767,0.723133073170102,0.6635465938612407,0.7827195524789633,0.022314906340825336,True,BRA
2017,ets,0.7008181668292767,0.7002571170564555,0.6445893634651685,0.7559248706477426,0.0005610497728211206,True,BRA
2017,arima,0.7008181668292767,0.7219225550481192,0.6879886293004337,0.7558564807958047,0.02110438821884253,True,BRA
2017,bayesian,0.7008181668292767,0.7003242153243459,0.6364569510497996,0.7641914795988921,0.0004939515049308119,True,BRA
2017,xgboost,0.7008181668292767,0.7247946858406067,0.7157385383465682,0.7338508333346452,0.023976519011330022,False,BRA
2018,naive,0.7362670260376168,0.7008181668292767,0.6423348921602012,0.7593014414983521,0.03544885920834018,True,BRA
2018,ets,0.7362670260376168,0.7003274218725554,0.6462278765649471,0.7544269671801637,0.03593960416506148,True,BRA
2018,arima,0.7362670260376168,0.7089224601628104,0.6754201823037089,0.7424247380219118,0.027344565874806492,True,BRA
2018,bayesian,0.7362670260376168,0.7004700277356689,0.6388931590050286,0.7620468964663092,0.035796998301947935,True,BRA
2018,xgboost,0.7362670260376168,0.7120950818061829,0.700352294752837,0.7238378688595287,0.024171944231433984,False,BRA
2019,naive,0.7997127265754365,0.7362670260376168,0.6787490171927771,0.7937850348824566,0.06344570053781962,False,BRA
2019,ets,0.7997127265754365,0.7076575689610698,0.6541489237906293,0.7611662141315103,0.09205515761436667,False,BRA
2019,arima,0.7997127265754365,0.7252882955635009,0.6916984112854891,0.7588781798415127,0.07442443101193552,False,BRA
2019,bayesian,0.7997127265754365,0.704044027064282,0.6488062136606076,0.7592818404679564,0.09566869951115442,False,BRA
2019,xgboost,0.7997127265754365,0.7263886332511902,0.7145211582416399,0.7382561082607405,0.07332409332424628,False,BRA
2020,naive,0.7837175142843193,0.7997127265754365,0.741447142495052,0.857978310655821,0.01599521229111711,True,BRA
2020,ets,0.7837175142843193,0.7261005189179532,0.6687461568819313,0.7834548809539752,0.05761699536636611,False,BRA
2020,arima,0.7837175142843193,0.7749135988671102,0.7350681929721036,0.8147590047621168,0.008803915417209152,True,BRA
2020,bayesian,0.7837175142843193,0.7219661371433685,0.6600177160976364,0.7839145581891007,0.0617513771409508,True,BRA
