exporter,importer,year,value_usd
BRA,GTM,2012,237266180.0
BRA,ECU,2012,897907833.0
BRA,HND,2012,92554351.0
BRA,BOL,2012,1472448205.0
BRA,COL,2013,2556292951.0
BRA,ECU,2013,819887366.0
BRA,ARG,2013,19612849252.0
BRA,MEX,2013,3604587020.0
BRA,GTM,2013,245638143.0
BRA,BOL,2013,1534061284.0
BRA,PER,2013,2146794253.0
BRA,HND,2013,83198288.0
BRA,CHL,2013,4482944997.0
BRA,ARG,2014,14277231375.0
BRA,PER,2014,1813456320.0
BRA,HND,2014,113340733.0
BRA,BOL,2014,1609420665.0
BRA,ECU,2014,821990689.0
BRA,MEX,2014,3668564938.0
BRA,CHL,2014,4983903057.0
BRA,COL,2014,2383167174.0
BRA,GTM,2014,211558878.0
BRA,BOL,2015,1481873074.0
BRA,GTM,2015,224310403.0
BRA,HND,2015,102248023.0
BRA,MEX,2015,3585817584.0
BRA,CHL,2015,3977939847.0
BRA,COL,2015,2113831723.0
BRA,ECU,2015,664883582.0
BRA,ARG,2015,12793412815.0
BRA,PER,2015,1815220905.0
BRA,PER,2016,1948437570.0
BRA,BOL,2016,1428155433.0
BRA,MEX,2016,3813037793.0
BRA,ECU,2016,653583444.0
BRA,CHL,2016,4080526602.0
BRA,HND,2016,100952897.0
BRA,ARG,2016,13417339572.0
BRA,COL,2016,2231079816.0
BRA,GTM,2016,194928772.0
BRA,ARG,2017,17618822550.0
BRA,BOL,2017,1506169139.0
BRA,CHL,2017,5031366706.0
BRA,COL,2017,2507787228.0
BRA,ECU,2017,836680780.0
BRA,MEX,2017,4514104147.0
BRA,GTM,2017,266616434.0
BRA,HND,2017,116150420.0
BRA,PER,2017,2245333952.0
BRA,GTM,2018,226896903.0
BRA,ECU,2018,904655795.0
BRA,PER,2018,2155179824.0
BRA,MEX,2018,4504798201.0
BRA,BOL,2018,1452665628.0
BRA,HND,2018,114882351.0
BRA,COL,2018,2802244302.0
BRA,CHL,2018,6393547598.0
BRA,ARG,2018,14912622709.0
BRA,ARG,2019,9791499854.0
BRA,CHL,2019,5162888571.0
BRA,MEX,2019,4898470809.0
BRA,PER,2019,2216016093.0
BRA,HND,2019,108012409.0
BRA,COL,2019,3100315233.0
BRA,GTM,2019,285500902.0
BRA,ECU,2019,832811941.0
BRA,BOL,2019,1411089484.0
BRA,HND,2020,103274579.0
BRA,CHL,2020,3849842523.0
BRA,GTM,2020,256070608.0
BRA,PER,2020,1659787430.0
BRA,ECU,2020,599398129.0
BRA,ARG,2020,8488738068.0
BRA,BOL,2020,1025144926.0
BRA,MEX,2020,3829385290.0
BRA,COL,2020,2290911934.0
BRA,MEX,2021,5560486888.0
BRA,PER,2021,3074356673.0
BRA,ECU,2021,895392093.0
BRA,BOL,2021,1522067118.0
BRA,GTM,2021,352850327.0
BRA,HND,2021,158931440.0
BRA,ARG,2021,11878463042.0
BRA,CHL,2021,7018693189.0
BRA,COL,2021,3346823307.0
BRA,GTM,2022,564748412.0
BRA,MEX,2022,7055353823.0
BRA,COL,2022,5059463289.0
BRA,ECU,2022,1123093375.0
BRA,HND,2022,214011582.0
BRA,ARG,2022,15348622912.0
BRA,PER,2022,3481058685.0
BRA,CHL,2022,9114560869.0
BRA,BOL,2022,1832712623.0
BRA,BOL,2023,1798535294.0
BRA,CHL,2023,7944784712.0
BRA,ARG,2023,16712209284.0
BRA,COL,2023,3822571869.0
BRA,ECU,2023,1110177865.0
BRA,HND,2023,205018329.0
BRA,GTM,2023,577223652.0
BRA,MEX,2023,8571678431.0
BRA,PER,2023,3196094519.0
BRA,ARG,2024,13778181666.0
BRA,BOL,2024,1334856950.0
BRA,CHL,2024,6658098288.0
BRA,COL,2024,3233822350.0
BRA,ECU,2024,971429141.0
BRA,GTM,2024,600680784.0
BRA,HND,2024,205392706.0
BRA,MEX,2024,7801789195.0
BRA,PER,2024,2890486847.0
BRA,GTM,2025,568781603.0
BRA,ARG,2025,18105528787.0
BRA,COL,2025,3433605836.0
